,follower_count,friend_count,geo,location,name,place,retweet_count,screen_name,source,status_id,status_text,time_zone,tmstamp
421,33,84,,"New South Wales, Australia",Daniel Harrison,,21,harro257,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",943201678756528128,"RT @VergeLife: Wait til Asia/China wakes up. 

Let's see if we can't get to 1000sat!

And wait til #wraith is announced. With this momentum…",,Tue Dec 19 19:29:38 +0000 2017
422,26,55,,,Neo,,15,Neo58930944,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",943201677636751360,"RT @XVGWhale: $XVG's main volume source is #bittrex, and #binance, but I'm trying to change that by promoting #hitbtc also by using the fol…",Athens,Tue Dec 19 19:29:38 +0000 2017
423,149,137,,Texas ✈️ The Moon,mr. fawkes,,18,CryptoNoob4,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",943201664986763264,"@justinvendetta $1B market cap, not to shabby. Congrats and appreciate all your hard work! $xvg $verge @XVGWhale https://t.co/IAYrXpMEe2",,Tue Dec 19 19:29:35 +0000 2017
424,113,456,,"Florida, USA",John S.,,36,johnrockson,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",943201641657982978,"RT @VergeAddict: Verge is a secure and anonymous cryptocurrency, built with a focus on privacy. It is much faster and cheaper than Bitcoin.…",Eastern Time (US & Canada),Tue Dec 19 19:29:29 +0000 2017
425,107,267,,The Moon,J Langley,,21,Jmoney_2289,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",943201622166945792,"RT @VergeLife: Wait til Asia/China wakes up. 

Let's see if we can't get to 1000sat!

And wait til #wraith is announced. With this momentum…",,Tue Dec 19 19:29:25 +0000 2017
426,24,29,,"Sacramento, CA",Michael Yturralde,,0,Yturralde_,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",943201584950910976,@Taumantis I've been watching your feed for the last few days and you seem to know what you're talking about. Whats… https://t.co/xerojFftdB,Pacific Time (US & Canada),Tue Dec 19 19:29:16 +0000 2017
427,26,36,,,Fred Furiouz 🇳🇱,,15,FredFuriouz,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",943201520451022848,"RT @XVGWhale: $XVG's main volume source is #bittrex, and #binance, but I'm trying to change that by promoting #hitbtc also by using the fol…",,Tue Dec 19 19:29:00 +0000 2017
428,30,111,,港区,ビットコイン太郎,,0,yaseruo831,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",943201490075664384,完全に$XVG手放すタイミング間違えた,,Tue Dec 19 19:28:53 +0000 2017
429,174,333,,Karaj,Hamed Salehi Rad,,15,HamedSalehiRad1,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",943201486871375873,"RT @XVGWhale: $XVG's main volume source is #bittrex, and #binance, but I'm trying to change that by promoting #hitbtc also by using the fol…",,Tue Dec 19 19:28:52 +0000 2017
430,60,69,,"Dubai, UAE",Aravind C,,82,aravindc82,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",943201468974288897,RT @XVGWhale: #VERGE BROKE ANOTHER ALL TIME HIGH! ABOVE 420 #SATOSHI! LETS GOOOO $XVG! #VergeFam IS GROWING! 🚀🚀🚀 https://t.co/wLH5lvNcN5 #c…,,Tue Dec 19 19:28:48 +0000 2017
431,6896,1741,,Estonia,CryptoBeluga,,0,cryptobeluga,"<a href=""http://belu.ga"" rel=""nofollow"">beluga</a>",943201465694408704,#AI #ML based predictions: $LTC| $QTUM 🔥| $ETC| $OMG| $ZEC| $XVG| $REP| $NXT| $EMC2 ➡️ Get full access:… https://t.co/7R2pqac3ky,Madrid,Tue Dec 19 19:28:47 +0000 2017
432,2,15,,,Krypto Hippie,,28,XVG_Milli,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",943201457427410944,"RT @justinvendetta: Help me power digital resistance! I donated to @torproject, and @mozilla matched me: https://t.co/lv0yTuMf44",Pacific Time (US & Canada),Tue Dec 19 19:28:45 +0000 2017
433,17,108,,Brazil,Guiem Miro Oliva,,1,Guiemmiro,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",943201450536026112,"RT @hf_homi: Nope!!! you have not missed out yet, next 30 minutes it will be around 420-425 sats.. set your buy orders and ride the wave to…",,Tue Dec 19 19:28:44 +0000 2017
434,1,2,,,Youl,,0,Youl8,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>",943201409306189829,"@cryptobrother0 @CryptozYankee @coinpouchapp Hello. If you have some generosity remaining, I lost 86932 XVG :-) . I… https://t.co/1MU68Ohc7D",,Tue Dec 19 19:28:34 +0000 2017
